Provincia,Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Fecha,ADSL_Change,Cablemodem_Change,Fibra_Change,Total_Accesos,Penetracion_Fibra
San Juan,2016,1,48670,451,770,2016-01-01,0.0,0.0,0.0,49891,0.015433645346856146
San Juan,2016,2,48670,451,770,2016-04-01,0.0,0.0,0.0,49891,0.015433645346856146
San Juan,2016,3,48670,451,770,2016-07-01,0.0,0.0,0.0,49891,0.015433645346856146
San Juan,2016,4,48670,451,772,2016-10-01,0.0,0.0,2.0,49893,0.015473112460665826
San Juan,2017,1,48670,451,772,2017-01-01,0.0,0.0,0.0,49893,0.015473112460665826
San Juan,2017,2,48670,451,772,2017-04-01,0.0,0.0,0.0,49893,0.015473112460665826
San Juan,2017,3,54499,5068,816,2017-07-01,5829.0,4617.0,44.0,60383,0.01351373731017008
San Juan,2017,4,54079,451,812,2017-10-01,-420.0,-4617.0,-4.0,55342,0.014672400708322793
San Juan,2018,1,54080,5068,826,2018-01-01,1.0,4617.0,14.0,59974,0.013772634808416982
San Juan,2018,2,54080,5068,826,2018-04-01,0.0,0.0,0.0,59974,0.013772634808416982
San Juan,2018,3,54025,5838,826,2018-07-01,-55.0,770.0,0.0,60689,0.013610374202903328
San Juan,2018,4,51660,5838,806,2018-10-01,-2365.0,0.0,-20.0,58304,0.013824094401756313
San Juan,2019,4,41360,6338,4931,2019-10-01,-10300.0,500.0,4125.0,52629,0.09369359098595831
San Juan,2020,1,40092,6448,5508,2020-01-01,-1268.0,110.0,577.0,52048,0.1058253919458961
San Juan,2020,2,40092,8275,5509,2020-04-01,0.0,1827.0,1.0,53876,0.10225332244413096
San Juan,2020,3,40092,9223,5509,2020-07-01,0.0,948.0,0.0,54824,0.10048518896833504
San Juan,2020,4,40072,7004,6599,2020-10-01,-20.0,-2219.0,1090.0,53675,0.12294364229156964
San Juan,2021,1,40072,11589,6671,2021-01-01,0.0,4585.0,72.0,58332,0.11436261400260578
San Juan,2021,2,40072,12369,6673,2021-04-01,0.0,780.0,2.0,59114,0.11288358087762629
San Juan,2021,3,40072,12922,6670,2021-07-01,0.0,553.0,-3.0,59664,0.11179270581925449
San Juan,2021,4,35868,13102,11072,2021-10-01,-4204.0,180.0,4402.0,60042,0.18440425035808267
San Juan,2022,1,34038,14449,11294,2022-01-01,-1830.0,1347.0,222.0,59781,0.1889229019253609
San Juan,2022,2,38570,19734,12328,2022-04-01,4532.0,5285.0,1034.0,70632,0.1745384528259146
San Juan,2022,3,38570,22723,12328,2022-07-01,0.0,2989.0,0.0,73621,0.16745222151288355
San Juan,2022,4,38570,22913,12491,2022-10-01,0.0,190.0,163.0,73974,0.16885662530078135
San Juan,2023,1,38568,21215,12798,2023-01-01,-2.0,-1698.0,307.0,72581,0.17632713795621444
San Juan,2023,2,21483,20200,25217,2023-04-01,-17085.0,-1015.0,12419.0,66900,0.3769357249626308
San Juan,2023,3,12669,19376,42383,2023-07-01,-8814.0,-824.0,17166.0,74428,0.5694496694792283
San Juan,2023,4,12669,18543,42691,2023-10-01,0.0,-833.0,308.0,73903,0.5776626118019567
San Juan,2024,1,12669,18543,44904,2024-01-01,0.0,0.0,2213.0,76116,0.5899416679804509
San Juan,2024,2,12669,16978,45792,2024-04-01,0.0,-1565.0,888.0,75439,0.6070069857765877
San Luis,2014,1,11306,428,354,2014-01-01,,,,12088,0.02928524156187955
San Luis,2014,2,11306,925,354,2014-04-01,0.0,497.0,0.0,12585,0.028128724672228843
San Luis,2014,3,11303,925,355,2014-07-01,-3.0,0.0,1.0,12583,0.028212667885241995
San Luis,2014,4,11419,926,355,2014-10-01,116.0,1.0,0.0,12700,0.02795275590551181
San Luis,2015,1,11414,1025,351,2015-01-01,-5.0,99.0,-4.0,12790,0.027443315089913996
San Luis,2015,2,11432,1025,354,2015-04-01,18.0,0.0,3.0,12811,0.027632503317461556
San Luis,2015,3,11432,1025,354,2015-07-01,0.0,0.0,0.0,12811,0.027632503317461556
San Luis,2015,4,11432,1025,354,2015-10-01,0.0,0.0,0.0,12811,0.027632503317461556
San Luis,2016,1,11432,1042,354,2016-01-01,0.0,17.0,0.0,12828,0.027595884003741813
San Luis,2016,2,11432,1063,354,2016-04-01,0.0,21.0,0.0,12849,0.027550782162035957
San Luis,2016,3,11432,1113,354,2016-07-01,0.0,50.0,0.0,12899,0.02744398790603923
San Luis,2016,4,11432,1120,354,2016-10-01,0.0,7.0,0.0,12906,0.027429102742910275
San Luis,2017,1,11432,1120,354,2017-01-01,0.0,0.0,0.0,12906,0.027429102742910275
San Luis,2017,2,11432,1120,354,2017-04-01,0.0,0.0,0.0,12906,0.027429102742910275
San Luis,2017,3,11407,7576,347,2017-07-01,-25.0,6456.0,-7.0,19330,0.01795137092602173
San Luis,2017,4,11104,1119,335,2017-10-01,-303.0,-6457.0,-12.0,12558,0.02667622232839624
San Luis,2018,1,11104,7594,368,2018-01-01,0.0,6475.0,33.0,19066,0.019301374173922164
San Luis,2018,2,11104,7666,368,2018-04-01,0.0,72.0,0.0,19138,0.01922875953600167
San Luis,2018,3,11096,7784,368,2018-07-01,-8.0,118.0,0.0,19248,0.019118869492934332
San Luis,2018,4,11108,7784,378,2018-10-01,12.0,0.0,10.0,19270,0.01961598339387649
San Luis,2019,4,8569,8027,6,2019-10-01,-2539.0,243.0,-372.0,16602,0.0003614022406938923
San Luis,2020,1,8301,7612,5,2020-01-01,-268.0,-415.0,-1.0,15918,0.0003141098127905516
San Luis,2020,2,8401,8357,6,2020-04-01,100.0,745.0,1.0,16764,0.00035790980672870435
San Luis,2020,3,8401,10077,6,2020-07-01,0.0,1720.0,0.0,18484,0.0003246050638389959
San Luis,2020,4,8417,11767,27,2020-10-01,16.0,1690.0,21.0,20211,0.0013359061896986788
San Luis,2021,1,8417,10678,28,2021-01-01,0.0,-1089.0,1.0,19123,0.0014642054071013963
San Luis,2021,2,8417,11308,28,2021-04-01,0.0,630.0,0.0,19753,0.001417506201589632
San Luis,2021,3,8417,11884,27,2021-07-01,0.0,576.0,-1.0,20328,0.0013282172373081465
San Luis,2021,4,8472,11064,30,2021-10-01,55.0,-820.0,3.0,19566,0.0015332720024532351
San Luis,2022,1,7987,11296,31,2022-01-01,-485.0,232.0,1.0,19314,0.0016050533291912601
San Luis,2022,2,6860,29034,248,2022-04-01,-1127.0,17738.0,217.0,36142,0.006861822810027115
San Luis,2022,3,6860,29363,248,2022-07-01,0.0,329.0,0.0,36471,0.006799923226673247
San Luis,2022,4,6283,43460,3409,2022-10-01,-577.0,14097.0,3161.0,53152,0.06413681517158339
San Luis,2023,1,6283,42789,6952,2023-01-01,0.0,-671.0,3543.0,56024,0.12408967585320577
San Luis,2023,2,4937,41949,15595,2023-04-01,-1346.0,-840.0,8643.0,62481,0.24959587714665257
San Luis,2023,3,4037,41624,24525,2023-07-01,-900.0,-325.0,8930.0,70186,0.34942866098652153
San Luis,2023,4,4037,41260,30135,2023-10-01,0.0,-364.0,5610.0,75432,0.3994988864142539
San Luis,2024,1,4038,41260,31539,2024-01-01,1.0,0.0,1404.0,76837,0.41046631180290744
San Luis,2024,2,4038,40063,34255,2024-04-01,0.0,-1197.0,2716.0,78356,0.43717137168819237
Santa Cruz,2014,1,18927,100,381,2014-01-01,,,,19408,0.019631079967023908
Santa Cruz,2014,2,18956,448,381,2014-04-01,29.0,348.0,0.0,19785,0.019257012888551934
Santa Cruz,2014,3,17862,492,385,2014-07-01,-1094.0,44.0,4.0,18739,0.02054538662682107
Santa Cruz,2014,4,17553,448,388,2014-10-01,-309.0,-44.0,3.0,18389,0.021099570395345043
Santa Cruz,2015,1,16215,2700,392,2015-01-01,-1338.0,2252.0,4.0,19307,0.02030351685917025
Santa Cruz,2015,2,15343,2707,396,2015-04-01,-872.0,7.0,4.0,18446,0.021468068958039682
Santa Cruz,2015,3,15540,2718,396,2015-07-01,197.0,11.0,0.0,18654,0.02122869089739466
Santa Cruz,2015,4,15614,2723,396,2015-10-01,74.0,5.0,0.0,18733,0.021139166177334117
Santa Cruz,2016,1,15654,2723,396,2016-01-01,40.0,0.0,0.0,18773,0.021094124540563575
Santa Cruz,2016,2,15453,2722,396,2016-04-01,-201.0,-1.0,0.0,18571,0.021323569005438588
Santa Cruz,2016,3,15570,2722,817,2016-07-01,117.0,0.0,421.0,19109,0.04275472290543723
Santa Cruz,2016,4,15607,2722,1055,2016-10-01,37.0,0.0,238.0,19384,0.05442633099463475
Santa Cruz,2017,1,15502,2722,1272,2017-01-01,-105.0,0.0,217.0,19496,0.06524415264669675
Santa Cruz,2017,2,15311,2722,1365,2017-04-01,-191.0,0.0,93.0,19398,0.07036807918342097
Santa Cruz,2017,3,19220,5487,1544,2017-07-01,3909.0,2765.0,179.0,26251,0.05881680697878176
Santa Cruz,2017,4,18614,1668,582,2017-10-01,-606.0,-3819.0,-962.0,20864,0.027894938650306747
Santa Cruz,2018,1,18615,4474,1799,2018-01-01,1.0,2806.0,1217.0,24888,0.07228383156541306
Santa Cruz,2018,2,18615,4474,585,2018-04-01,0.0,0.0,-1214.0,23674,0.0247106530370871
Santa Cruz,2018,3,18606,4574,585,2018-07-01,-9.0,100.0,0.0,23765,0.02461603197980223
Santa Cruz,2018,4,10659,4615,382,2018-10-01,-7947.0,41.0,-203.0,15656,0.0243995912110373
Santa Cruz,2019,4,13264,15899,1036,2019-10-01,2605.0,11284.0,654.0,30199,0.03430577171429518
Santa Cruz,2020,1,12845,15766,1026,2020-01-01,-419.0,-133.0,-10.0,29637,0.03461888855147282
Santa Cruz,2020,2,12845,16044,1027,2020-04-01,0.0,278.0,1.0,29916,0.034329455809600215
Santa Cruz,2020,3,12845,16098,1027,2020-07-01,0.0,54.0,0.0,29970,0.0342676009342676
Santa Cruz,2020,4,12347,19657,1041,2020-10-01,-498.0,3559.0,14.0,33045,0.03150249659555152
Santa Cruz,2021,1,12347,23089,5975,2021-01-01,0.0,3432.0,4934.0,41411,0.1442853348144213
Santa Cruz,2021,2,12347,22967,6328,2021-04-01,0.0,-122.0,353.0,41642,0.15196196148119687
Santa Cruz,2021,3,12347,22961,6328,2021-07-01,0.0,-6.0,0.0,41636,0.15198386012104909
Santa Cruz,2021,4,10790,22902,10031,2021-10-01,-1557.0,-59.0,3703.0,43723,0.22942158589300826
Santa Cruz,2022,1,10537,23420,10766,2022-01-01,-253.0,518.0,735.0,44723,0.24072624823916106
Santa Cruz,2022,2,10170,23725,10815,2022-04-01,-367.0,305.0,49.0,44710,0.24189219414001342
Santa Cruz,2022,3,10170,24047,10815,2022-07-01,0.0,322.0,0.0,45032,0.24016255107479126
Santa Cruz,2022,4,9702,23876,12217,2022-10-01,-468.0,-171.0,1402.0,45795,0.2667758488918004
Santa Cruz,2023,1,9702,23839,12217,2023-01-01,0.0,-37.0,0.0,45758,0.26699156431662224
Santa Cruz,2023,2,9019,23896,11269,2023-04-01,-683.0,57.0,-948.0,44184,0.2550470758645664
Santa Cruz,2023,3,8376,23931,11270,2023-07-01,-643.0,35.0,1.0,43577,0.2586226679211511
Santa Cruz,2023,4,7768,15669,55246,2023-10-01,-608.0,-8262.0,43976.0,78683,0.7021338789827536
Santa Cruz,2024,1,7768,14435,49545,2024-01-01,0.0,-1234.0,-5701.0,71748,0.6905418966382338
Santa Cruz,2024,2,7768,14134,49545,2024-04-01,0.0,-301.0,0.0,71447,0.6934510896188784
Santa Fe,2014,1,322662,174296,3059,2014-01-01,,,,500017,0.006117791995072168
Santa Fe,2014,2,324101,178495,3085,2014-04-01,1439.0,4199.0,26.0,505681,0.006100684028073034
Santa Fe,2014,3,325577,183630,4407,2014-07-01,1476.0,5135.0,1322.0,513614,0.008580373587947368
Santa Fe,2014,4,335267,183009,3205,2014-10-01,9690.0,-621.0,-1202.0,521481,0.006145957379079967
Santa Fe,2015,1,328809,199037,2845,2015-01-01,-6458.0,16028.0,-360.0,530691,0.005360935082750602
Santa Fe,2015,2,333117,204685,2877,2015-04-01,4308.0,5648.0,32.0,540679,0.0053210870035640375
Santa Fe,2015,3,337042,209673,4169,2015-07-01,3925.0,4988.0,1292.0,550884,0.007567836422912991
Santa Fe,2015,4,339843,212911,2885,2015-10-01,2801.0,3238.0,-1284.0,555639,0.0051922201285366934
Santa Fe,2016,1,338052,204816,3014,2016-01-01,-1791.0,-8095.0,129.0,545882,0.005521339776728304
Santa Fe,2016,2,336244,219088,2981,2016-04-01,-1808.0,14272.0,-33.0,558313,0.005339298923721998
Santa Fe,2016,3,334911,223011,3037,2016-07-01,-1333.0,3923.0,56.0,560959,0.005413942908483508
Santa Fe,2016,4,326721,225792,3201,2016-10-01,-8190.0,2781.0,164.0,555714,0.005760157203165657
Santa Fe,2017,1,327458,226094,3210,2017-01-01,737.0,302.0,9.0,556762,0.005765479684317536
Santa Fe,2017,2,329813,228102,3234,2017-04-01,2355.0,2008.0,24.0,561149,0.005763175199456828
Santa Fe,2017,3,322953,290655,6338,2017-07-01,-6860.0,62553.0,3104.0,619946,0.010223471076513115
Santa Fe,2017,4,341680,293831,10602,2017-10-01,18727.0,3176.0,4264.0,646113,0.016408894419397226
Santa Fe,2018,1,341997,300421,10674,2018-01-01,317.0,6590.0,72.0,653092,0.01634379229878792
Santa Fe,2018,2,337934,304349,11354,2018-04-01,-4063.0,3928.0,680.0,653637,0.01737049769214411
Santa Fe,2018,3,339126,312866,11749,2018-07-01,1192.0,8517.0,395.0,663741,0.017701181635607865
Santa Fe,2018,4,335519,322782,14387,2018-10-01,-3607.0,9916.0,2638.0,672688,0.021387329638703233
Santa Fe,2019,4,312072,382254,27464,2019-10-01,-23447.0,59472.0,13077.0,721790,0.03804984829382507
Santa Fe,2020,1,302366,383673,35123,2020-01-01,-9706.0,1419.0,7659.0,721162,0.04870334266087231
Santa Fe,2020,2,299974,381679,46698,2020-04-01,-2392.0,-1994.0,11575.0,728351,0.06411469195484046
Santa Fe,2020,3,295051,405807,45721,2020-07-01,-4923.0,24128.0,-977.0,746579,0.0612406724539533
Santa Fe,2020,4,287271,414746,62692,2020-10-01,-7780.0,8939.0,16971.0,764709,0.08198151192152832
Santa Fe,2021,1,277012,421480,70976,2021-01-01,-10259.0,6734.0,8284.0,769468,0.09224035307511164
Santa Fe,2021,2,256741,431915,90424,2021-04-01,-20271.0,10435.0,19448.0,779080,0.11606510242850542
Santa Fe,2021,3,245929,443156,93412,2021-07-01,-10812.0,11241.0,2988.0,782497,0.11937681550216805
Santa Fe,2021,4,233427,444373,128856,2021-10-01,-12502.0,1217.0,35444.0,806656,0.15974095525230086
Santa Fe,2022,1,213486,444609,146552,2022-01-01,-19941.0,236.0,17696.0,804647,0.18213204050968934
Santa Fe,2022,2,198492,428233,189503,2022-04-01,-14994.0,-16376.0,42951.0,816228,0.23216919782217713
Santa Fe,2022,3,183740,426255,215189,2022-07-01,-14752.0,-1978.0,25686.0,825184,0.2607769903439718
Santa Fe,2022,4,163621,412157,248558,2022-10-01,-20119.0,-14098.0,33369.0,824336,0.3015251062673473
Santa Fe,2023,1,138935,405618,283988,2023-01-01,-24686.0,-6539.0,35430.0,828541,0.342756725376294
Santa Fe,2023,2,126344,399669,311166,2023-04-01,-12591.0,-5949.0,27178.0,837179,0.37168395289418393
Santa Fe,2023,3,108503,397854,336013,2023-07-01,-17841.0,-1815.0,24847.0,842370,0.39889003644479265
Santa Fe,2023,4,97004,398670,355762,2023-10-01,-11499.0,816.0,19749.0,851436,0.41783762960457393
Santa Fe,2024,1,86548,399817,374288,2024-01-01,-10456.0,1147.0,18526.0,860653,0.4348883928830783
Santa Fe,2024,2,88486,394939,390090,2024-04-01,1938.0,-4878.0,15802.0,873515,0.44657504450410124
Santiago Del Estero,2014,1,32567,3598,19,2014-01-01,,,,36184,0.0005250939641830644
Santiago Del Estero,2014,2,32820,4231,19,2014-04-01,253.0,633.0,0.0,37070,0.0005125438359859725
Santiago Del Estero,2014,3,32820,3900,19,2014-07-01,0.0,-331.0,0.0,36739,0.0005171615993902937
Santiago Del Estero,2014,4,34110,4231,19,2014-10-01,1290.0,331.0,0.0,38360,0.0004953076120959332
Santiago Del Estero,2015,1,33813,4365,19,2015-01-01,-297.0,134.0,0.0,38197,0.0004974212634500092
Santiago Del Estero,2015,2,33873,4365,19,2015-04-01,60.0,0.0,0.0,38257,0.0004966411375695951
Santiago Del Estero,2015,3,33886,4365,19,2015-07-01,13.0,0.0,0.0,38270,0.0004964724327149203
Santiago Del Estero,2015,4,33582,4365,19,2015-10-01,-304.0,0.0,0.0,37966,0.0005004477690565243
Santiago Del Estero,2016,1,32838,3900,19,2016-01-01,-744.0,-465.0,0.0,36757,0.0005169083439889
Santiago Del Estero,2016,2,32101,3900,19,2016-04-01,-737.0,0.0,0.0,36020,0.0005274847307051638
Santiago Del Estero,2016,3,31730,3900,19,2016-07-01,-371.0,0.0,0.0,35649,0.0005329742769783163
Santiago Del Estero,2016,4,30192,3900,19,2016-10-01,-1538.0,0.0,0.0,34111,0.0005570050716777579
Santiago Del Estero,2017,1,29616,3900,19,2017-01-01,-576.0,0.0,0.0,33535,0.0005665722379603399
Santiago Del Estero,2017,2,28337,3900,19,2017-04-01,-1279.0,0.0,0.0,32256,0.0005890376984126984
Santiago Del Estero,2017,3,27733,54096,19,2017-07-01,-604.0,50196.0,0.0,81848,0.0002321376209559183
Santiago Del Estero,2017,4,27313,40407,19,2017-10-01,-420.0,-13689.0,0.0,67739,0.00028048834497113924
Santiago Del Estero,2018,1,26788,54594,23,2018-01-01,-525.0,14187.0,4.0,81405,0.00028253792764572203
Santiago Del Estero,2018,2,26074,55935,23,2018-04-01,-714.0,1341.0,0.0,82032,0.0002803783889213965
Santiago Del Estero,2018,3,25805,58789,23,2018-07-01,-269.0,2854.0,0.0,84617,0.0002718129926610492
Santiago Del Estero,2018,4,25339,61243,23,2018-10-01,-466.0,2454.0,0.0,86605,0.0002655735812020091
Santiago Del Estero,2019,4,24682,71239,200,2019-10-01,-657.0,9996.0,177.0,96121,0.002080710770799305
Santiago Del Estero,2020,1,24695,70424,200,2020-01-01,13.0,-815.0,0.0,95319,0.0020982175641792297
Santiago Del Estero,2020,2,25917,72074,355,2020-04-01,1222.0,1650.0,155.0,98346,0.0036097045126390497
Santiago Del Estero,2020,3,26419,70720,555,2020-07-01,502.0,-1354.0,200.0,97694,0.005681003951112658
Santiago Del Estero,2020,4,26812,70522,570,2020-10-01,393.0,-198.0,15.0,97904,0.005822029743422128
Santiago Del Estero,2021,1,26468,75849,570,2021-01-01,-344.0,5327.0,0.0,102887,0.005540058510793395
Santiago Del Estero,2021,2,20734,83770,909,2021-04-01,-5734.0,7921.0,339.0,105413,0.008623224839441055
Santiago Del Estero,2021,3,19939,85535,909,2021-07-01,-795.0,1765.0,0.0,106383,0.008544598291080343
Santiago Del Estero,2021,4,19032,86563,1088,2021-10-01,-907.0,1028.0,179.0,106683,0.010198438364125493
Santiago Del Estero,2022,1,18118,87979,1093,2022-01-01,-914.0,1416.0,5.0,107190,0.010196846720776191
Santiago Del Estero,2022,2,16561,80338,11605,2022-04-01,-1557.0,-7641.0,10512.0,108504,0.10695458231954583
Santiago Del Estero,2022,3,15385,80937,13170,2022-07-01,-1176.0,599.0,1565.0,109492,0.12028276038432031
Santiago Del Estero,2022,4,13577,80955,15117,2022-10-01,-1808.0,18.0,1947.0,109649,0.13786719441125775
Santiago Del Estero,2023,1,11642,80407,16656,2023-01-01,-1935.0,-548.0,1539.0,108705,0.15322202290603007
Santiago Del Estero,2023,2,10629,80086,17244,2023-04-01,-1013.0,-321.0,588.0,107959,0.15972730388388184
Santiago Del Estero,2023,3,9412,80919,21745,2023-07-01,-1217.0,833.0,4501.0,112076,0.19402012919804418
Santiago Del Estero,2023,4,8290,80692,24271,2023-10-01,-1122.0,-227.0,2526.0,113253,0.21430778875614773
Santiago Del Estero,2024,1,6644,80722,27018,2024-01-01,-1646.0,30.0,2747.0,114384,0.2362043642467478
Santiago Del Estero,2024,2,5328,80000,30008,2024-04-01,-1316.0,-722.0,2990.0,115336,0.2601789553998751
Tierra Del Fuego,2014,1,21618,2837,648,2014-01-01,,,,25103,0.025813647771182727
Tierra Del Fuego,2014,2,21618,3008,648,2014-04-01,0.0,171.0,0.0,25274,0.025638996597293663
Tierra Del Fuego,2014,3,21840,3469,650,2014-07-01,222.0,461.0,2.0,25959,0.025039485342270504
Tierra Del Fuego,2014,4,21948,3664,655,2014-10-01,108.0,195.0,5.0,26267,0.024936231773708455
Tierra Del Fuego,2015,1,22291,7924,657,2015-01-01,343.0,4260.0,2.0,30872,0.021281420057009587
Tierra Del Fuego,2015,2,22636,7927,665,2015-04-01,345.0,3.0,8.0,31228,0.021294991674138595
Tierra Del Fuego,2015,3,22636,8085,665,2015-07-01,0.0,158.0,0.0,31386,0.02118779073472249
Tierra Del Fuego,2015,4,22636,4301,665,2015-10-01,0.0,-3784.0,0.0,27602,0.024092457068328382
Tierra Del Fuego,2016,1,22636,4834,665,2016-01-01,0.0,533.0,0.0,28135,0.023636040518926604
Tierra Del Fuego,2016,2,22636,5707,665,2016-04-01,0.0,873.0,0.0,29008,0.022924710424710424
Tierra Del Fuego,2016,3,22636,6276,665,2016-07-01,0.0,569.0,0.0,29577,0.022483686648409235
Tierra Del Fuego,2016,4,22636,6905,665,2016-10-01,0.0,629.0,0.0,30206,0.02201549361054095
Tierra Del Fuego,2017,1,22636,6905,665,2017-01-01,0.0,0.0,0.0,30206,0.02201549361054095
Tierra Del Fuego,2017,2,22636,6905,665,2017-04-01,0.0,0.0,0.0,30206,0.02201549361054095
Tierra Del Fuego,2017,3,21587,7012,622,2017-07-01,-1049.0,107.0,-43.0,29221,0.0212860613942028
Tierra Del Fuego,2017,4,19372,6906,530,2017-10-01,-2215.0,-106.0,-92.0,26808,0.01977021784541928
Tierra Del Fuego,2018,1,19372,9663,531,2018-01-01,0.0,2757.0,1.0,29566,0.017959818710681186
Tierra Del Fuego,2018,2,19372,22756,531,2018-04-01,0.0,13093.0,0.0,42659,0.012447549168991302
Tierra Del Fuego,2018,3,19365,22649,1502,2018-07-01,-7.0,-107.0,971.0,43516,0.03451604007721298
Tierra Del Fuego,2018,4,19789,23349,1623,2018-10-01,424.0,700.0,121.0,44761,0.036259243537901296
Tierra Del Fuego,2019,4,13261,26821,0,2019-10-01,-6528.0,3472.0,-1623.0,40082,0.0
Tierra Del Fuego,2020,1,12854,25632,0,2020-01-01,-407.0,-1189.0,0.0,38486,0.0
Tierra Del Fuego,2020,2,12854,26025,0,2020-04-01,0.0,393.0,0.0,38879,0.0
Tierra Del Fuego,2020,3,12854,26491,0,2020-07-01,0.0,466.0,0.0,39345,0.0
Tierra Del Fuego,2020,4,12853,26439,6,2020-10-01,-1.0,-52.0,6.0,39298,0.0001526795256756069
Tierra Del Fuego,2021,1,12853,27247,6,2021-01-01,0.0,808.0,0.0,40106,0.00014960355059093404
Tierra Del Fuego,2021,2,12853,22504,6,2021-04-01,0.0,-4743.0,0.0,35363,0.0001696688629358369
Tierra Del Fuego,2021,3,12853,36958,6,2021-07-01,0.0,14454.0,0.0,49817,0.00012044081337695968
Tierra Del Fuego,2021,4,13317,38148,426,2021-10-01,464.0,1190.0,420.0,51891,0.008209516101057987
Tierra Del Fuego,2022,1,13031,38700,416,2022-01-01,-286.0,552.0,-10.0,52147,0.007977448367116037
Tierra Del Fuego,2022,2,12754,39837,403,2022-04-01,-277.0,1137.0,-13.0,52994,0.007604634486923048
Tierra Del Fuego,2022,3,12754,39963,403,2022-07-01,0.0,126.0,0.0,53120,0.007586596385542169
Tierra Del Fuego,2022,4,12754,41293,405,2022-10-01,0.0,1330.0,2.0,54452,0.007437743333578197
Tierra Del Fuego,2023,1,12754,43146,405,2023-01-01,0.0,1853.0,0.0,56305,0.0071929668768315426
Tierra Del Fuego,2023,2,12392,45224,525,2023-04-01,-362.0,2078.0,120.0,58141,0.009029772449734267
Tierra Del Fuego,2023,3,9357,45203,3682,2023-07-01,-3035.0,-21.0,3157.0,58242,0.06321898286459943
Tierra Del Fuego,2023,4,9357,48071,3682,2023-10-01,0.0,2868.0,0.0,61110,0.06025200458190149
Tierra Del Fuego,2024,1,9357,48005,3684,2024-01-01,0.0,-66.0,2.0,61046,0.0603479343445926
Tierra Del Fuego,2024,2,9357,47859,3684,2024-04-01,0.0,-146.0,0.0,60900,0.060492610837438426
Tucumán,2014,1,129717,83,121,2014-01-01,,,,129921,0.0009313351960037253
Tucumán,2014,2,131740,97,121,2014-04-01,2023.0,14.0,0.0,131958,0.0009169584261659012
Tucumán,2014,3,131739,97,117,2014-07-01,-1.0,0.0,-4.0,131953,0.0008866793479496487
Tucumán,2014,4,137093,97,116,2014-10-01,5354.0,0.0,-1.0,137306,0.0008448283396209925
Tucumán,2015,1,137857,115,116,2015-01-01,764.0,18.0,0.0,138088,0.0008400440298939806
Tucumán,2015,2,139944,479,116,2015-04-01,2087.0,364.0,0.0,140539,0.000825393662968998
Tucumán,2015,3,142925,1135,116,2015-07-01,2981.0,656.0,0.0,144176,0.0008045721895461103
Tucumán,2015,4,144188,1653,116,2015-10-01,1263.0,518.0,0.0,145957,0.0007947546195112259
Tucumán,2016,1,144233,2165,116,2016-01-01,45.0,512.0,0.0,146514,0.0007917332132082941
Tucumán,2016,2,145486,2968,116,2016-04-01,1253.0,803.0,0.0,148570,0.0007807767382378677
Tucumán,2016,3,147259,3850,116,2016-07-01,1773.0,882.0,0.0,151225,0.0007670689370143825
Tucumán,2016,4,146995,4482,116,2016-10-01,-264.0,632.0,0.0,151593,0.0007652068367272895
Tucumán,2017,1,147373,5223,116,2017-01-01,378.0,741.0,0.0,152712,0.0007595997695007596
Tucumán,2017,2,149013,5223,116,2017-04-01,1640.0,0.0,0.0,154352,0.0007515289727376386
Tucumán,2017,3,154130,6431,106,2017-07-01,5117.0,1208.0,-10.0,160667,0.0006597496685691524
Tucumán,2017,4,156583,5223,105,2017-10-01,2453.0,-1208.0,-1.0,161911,0.0006485044252706734
Tucumán,2018,1,158611,8921,107,2018-01-01,2028.0,3698.0,2.0,167639,0.000638276296088619
Tucumán,2018,2,160315,8965,110,2018-04-01,1704.0,44.0,3.0,169390,0.0006493889840014169
Tucumán,2018,3,161209,9280,110,2018-07-01,894.0,315.0,0.0,170599,0.000644786897930234
Tucumán,2018,4,159215,11670,119,2018-10-01,-1994.0,2390.0,9.0,171004,0.0006958901546162663
Tucumán,2019,4,146985,11012,39574,2019-10-01,-12230.0,-658.0,39455.0,197571,0.20030267600002025
Tucumán,2020,1,143184,10494,44687,2020-01-01,-3801.0,-518.0,5113.0,198365,0.22527663650341542
Tucumán,2020,2,150084,9833,55120,2020-04-01,6900.0,-661.0,10433.0,215037,0.2563279807661007
Tucumán,2020,3,149605,11752,59949,2020-07-01,-479.0,1919.0,4829.0,221306,0.27088736862082363
Tucumán,2020,4,149322,11150,68043,2020-10-01,-283.0,-602.0,8094.0,228515,0.29776163490361685
Tucumán,2021,1,147199,12185,69954,2021-01-01,-2123.0,1035.0,1911.0,229338,0.30502576982445123
Tucumán,2021,2,110429,48359,71683,2021-04-01,-36770.0,36174.0,1729.0,230471,0.31102828555436474
Tucumán,2021,3,104489,53868,70964,2021-07-01,-5940.0,5509.0,-719.0,229321,0.30945268858935726
Tucumán,2021,4,97830,59022,78790,2021-10-01,-6659.0,5154.0,7826.0,235642,0.3343631440914608
Tucumán,2022,1,92532,62396,86174,2022-01-01,-5298.0,3374.0,7384.0,241102,0.35741719272341166
Tucumán,2022,2,85893,15327,148823,2022-04-01,-6639.0,-47069.0,62649.0,250043,0.59518962738409
Tucumán,2022,3,77738,18518,162345,2022-07-01,-8155.0,3191.0,13522.0,258601,0.6277817951206686
Tucumán,2022,4,69441,20668,168717,2022-10-01,-8297.0,2150.0,6372.0,258826,0.6518549141121834
